Name;Min;Max;Calories;Gram_Prot;Gram_Fat;Gram_Carb
CREAM,FLUID,LT WHIPPING 1 cup,  whipped;0;13;292;217;3091;296
CREAM,FLUID,HVY WHIPPING 1 cup,  whipped;0;14;345;205;370;279
CREAM,WHIPPED,CRM TOPPING,PRESSURIZED 1 cup;0;16;257;32;2222;1249
CREAM,SOUR,RED FAT,CULTURED 1 cup;0;19;135;294;120;426
CREAM,SOUR,CULTURED 1 cup;0;13;193;207;1973;288
EGGNOG 1 cup;0;5;135;381;748;1354
SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE 1 cup;0;13;178;325;1657;468
MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS 1 cup;0;15;63;333;346;474
MILK,FILLED,FLUID,W/LAURIC ACID OIL 1 cup;0;1;63;333;34;474
CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT 1 cup;0;16;136;10;997;1138
CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE 1 container,  individual;0;6;136;10;997;1138
CREAM SUBSTITUTE,POWDERED 1 cup;0;16;545;479;3548;5488
DESSERT TOPPING,POWDERED 1.5 oz;0;13;577;49;3992;5254
DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK 1 cup;0;1;188;36;1241;1653
DESSERT TOPPING,PRESSURIZED 1 cup;0;12;264;98;223;1607
DESSERT TOPPING,SEMI SOLID,FRZ 1 cup;0;15;318;125;2531;2305
SOUR CRM,IMITN,CULTURED 1 cup;0;16;208;24;1952;663
MILK SUBSTITUTES,FLUID W/HYDR VEG OILS 1 cup;0;8;61;175;341;616
MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL 1 cup;0;4;61;175;341;616
MILK,WHL,3.25% MILKFAT 1 cup;0;7;60;322;325;452
MILK,PRODUCER,FLUID,3.7% MILKFAT 1 cup;0;8;64;328;366;465
MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A 1 cup;0;10;50;33;197;468
MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A 1 cup;0;15;51;348;192;497
MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A 1 cup;0;17;56;395;198;549
MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A 1 cup;0;13;42;337;97;499
MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A 1 cup;0;8;43;348;97;497
MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A 1 cup;0;11;48;393;117;552
MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM) 1 cup;0;18;34;337;8;496
MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM) 1 cup;0;6;37;357;25;502
MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM) 1 cup;0;1;41;396;25;556
MILK,BTTRMLK,FLUID,CULTURED,LOWFAT 1 cup;0;9;40;331;88;479
MILK,LOW SODIUM,FLUID 1 cup;0;4;61;31;346;446
MILK,DRY,WHOLE 1 cup;0;12;496;2632;2671;3842
MILK,DRY,NONFAT,REG,WO/ VIT A 1 cup;0;5;362;3616;77;5198
MILK,DRY,NONFAT,INST,W/ VIT A 1 cup;0;4;358;351;72;5219
MILK,DRY,NONFAT,CA RED 1 oz;0;6;354;355;2;518
MILK,BUTTERMILK,DRIED 1 cup;0;10;387;343;578;490
MILK,CND,COND,SWTND 1 cup;0;1;321;791;87;544
MILK,CND,EVAP,WO/ VIT A 1 cup;0;8;134;681;756;1004
MILK,CND,EVAP,NONFAT 1 cup;0;15;78;755;2;1135
MILK,CHOC,FLUID,COMM, 1 cup;0;3;83;317;339;1034
MILK,CHOC,FLUID,COMM,RED FAT 1 cup;0;0;76;299;19;1213
MILK,CHOC,FLUID,COMM,LOWFAT 1 cup;0;10;63;324;10;1044
MILK,CHOC BEV,HOT COCOA,HOMEMADE 1 cup;0;9;77;352;233;1063
MILK,GOAT,FLUID 1 cup;0;1;69;356;414;445
MILK,HUMAN,MATURE,FLUID 1 cup;0;16;70;103;438;689
MILK,INDIAN BUFFALO,FLUID 1 cup;0;9;97;375;689;518
MILK,SHEEP,FLUID 1 cup;0;11;108;598;70;536
MILK SHAKES,THICK CHOC 1 fl oz;0;8;119;305;27;2115
MILK SHAKES,THICK VANILLA 1 fl oz;0;7;112;386;303;1775
WHEY,ACID,FLUID 1 cup;0;15;24;76;9;512
WHEY,ACID,DRIED 1 cup;0;8;339;1173;54;7345
WHEY,SWEET,FLUID 1 cup;0;6;27;85;36;514
WHEY,SWEET,DRIED 1 cup;0;2;353;1293;107;7446
YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);0;13;61;347;325;466
YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);0;11;63;525;155;704
YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);0;10;56;573;18;768
YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);0;0;85;493;125;138
YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);0;10;99;398;115;1864
YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);0;16;102;437;108;1905
YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ 1 container,  (8 oz);0;9;105;486;141;186
EGG,WHOLE,RAW,FRESH 1 cup,  (4.86 large eggs);0;18;143;1258;994;77
EGG,WHITE,RAW,FRESH 1 cup;0;1;48;109;17;73
EGG,YOLK,RAW,FRSH 1 cup;0;4;317;1586;2654;359
EGG,YOLK,RAW,FROZEN .5 lb;0;8;303;155;256;115
EGG,YOLK,RAW,FRZ,SUGARED .5 lb;0;9;307;138;2275;108
EGG,WHL,CKD,FRIED 1 large;0;2;196;1363;1531;88
EGG,WHL,CKD,HARD-BOILED 1 cup, chopped;0;10;155;1258;1061;112
EGG,WHOLE,COOKED,OMELET 1 tbsp;0;6;157;1059;1203;68
EGG,WHL,CKD,POACHED 1 large;0;11;142;1253;99;76
EGG,WHL,CKD,SCRMBLD 1 cup;0;6;167;1109;1221;22
EGG,WHOLE,DRIED 1 cup,  sifted;0;2;594;4735;4095;495
EGG,WHL,DRIED,STABILIZED,GLUCOSE RED 1 cup,  sifted;0;15;615;4817;4395;238
EGG,WHITE,DRIED,FLAKES,GLUCOSE RED .5 lb;0;12;351;7692;4;417
EGG,WHITE,DRIED,PDR,GLUCOSE RED 1 cup,  sifted;0;2;376;824;4;447
EGG,YOLK,DRIED 1 cup,  sifted;0;0;666;3425;558;36
EGG,DUCK,WHOLE,FRESH,RAW 1 egg;0;13;185;1281;1377;145
EGG,GOOSE,WHOLE,FRESH,RAW 1 egg;0;2;185;1387;1327;135
EGG,QUAIL,WHOLE,FRESH,RAW 1 egg;0;2;158;1305;1109;41
EGG,TURKEY,WHL,FRSH,RAW 1 egg;0;5;171;1368;1188;115
EGG SUBSTITUTE,FROZEN 1 cup;0;8;160;1129;1111;32
EGG SUBSTITUTE,LIQUID 1 cup;0;1;84;120;331;64
EGG SUBSTITUTE,POWDER .35 oz;0;4;444;555;130;218
BUTTER,WITHOUT SALT 1 cup;0;7;717;85;8111;6
CHEESE,PARMESAN,SHREDDED 1 tbsp;0;5;415;3786;2734;341
CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4 1 oz;0;16;375;2215;3125;16
CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4 1 oz;0;0;334;2473;2501;21
CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4 1 oz;0;18;328;1961;246;729
CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4 1 oz;0;17;290;1641;2123;873
MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM) 1 cup;0;8;35;341;18;485
MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A 1 cup;0;11;56;395;198;549
MILK,CND,EVAP,W/ VIT A 1 fl oz;0;8;134;681;756;1004
MILK,DRY,NONFAT,REG,W/ VIT A 1 cup;0;15;362;3616;77;5198
MILK,DRY,NONFAT,INST,WO/ VIT A 1 cup;0;17;358;351;72;5219
CHEESE,GOAT,HARD TYPE 1 oz;0;9;452;3052;3559;217
CHEESE,GOAT,SEMISOFT TYPE 1 oz;0;1;364;2158;2984;254
CHEESE,GOAT,SOFT TYPE 1 oz;0;1;268;1852;2108;89
EGG,YOLK,RAW,FRZ,SALTED .5 lb;0;2;274;140;230;16
CHEESE SUB,MOZZARELLA 1 cup, shredded;0;16;248;1147;1222;2367
CHEESE FONDUE 1 cup;0;7;229;1423;1347;377
CHEESE SAU,PREP FROM RECIPE 1 cup;0;17;197;1033;1492;548
CHEESE,MEXICAN,QUESO ANEJO 1 cup, crumbled;0;1;373;2144;2998;463
CHEESE,MEXICAN,QUESO ASADERO 1 cup, diced;0;17;356;226;2826;287
CHEESE,MEXICAN,QUESO CHIHUAHUA 1 cup, diced;0;16;374;2156;2968;556
CHEESE,LOFAT,CHEDDAR OR COLBY 1 cup, diced;0;12;173;2435;70;191
CHEESE,LOW-SODIUM,CHEDDAR OR COLBY 1 cup, diced;0;10;398;2435;3262;191
EGG,WHOLE,RAW,FROZEN ;0;6;148;1195;102;105
EGG,WHITE,RAW,FROZEN ;0;18;47;98;0;105
EGG,WHITE,DRIED ;0;12;382;811;0;78
SOUR CREAM,REDUCED FAT ;0;8;181;70;141;70
SOUR CREAM,LIGHT ;0;8;136;35;106;71
SOUR CREAM,FAT FREE ;0;9;74;31;0;156
USDA COMMODITY,CHS,CHEDDAR,RED FAT ;0;6;282;272;183;20
YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR ;0;4;47;386;18;75
PARMESAN CHS TOPPING,FAT FREE ;0;11;370;400;50;400
CHEESE,CREAM,FAT FREE ;0;3;105;1569;10;766
YOGURT,CHOC,NONFAT MILK ;0;4;108;353;0;2353
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU 2 tbsp;0;14;276;120;210;92
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT 2 tbsp;0;0;215;163;95;162
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT 1 slice;0;9;148;227;10;117
KRAFT VELVEETA PAST PROCESS CHS SPRD 1 oz;0;0;303;163;220;98
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT 1 oz;0;10;222;196;106;118
KRAFT BREAKSTONE'S RED FAT SOUR CRM 2 tbsp;0;19;152;45;120;65
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM 2 tbsp;0;13;91;47;13;151
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT) 1 container,  (8 oz);0;7;96;38;8;182
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT) 1 container,  (4.4 oz);0;4;108;32;8;219
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT) 1 container,  (8 oz);0;0;102;38;9;199
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T) 1 container,  (8 oz);0;16;55;34;2;99
CREAM,HALF & HALF,FAT FREE ;0;10;59;26;14;90
REDDI WIP FAT FREE WHIPPED TOPPING ;0;10;149;30;50;250
MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA 1 cup;0;13;78;299;19;1213
YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER 1 8 oz container,  (8 oz);0;7;105;486;141;186
CHEESE,PARMESAN,DRY GRATED,RED FAT 1 cup;0;15;265;200;200;137
CREAM SUB,FLAV,LIQ ;0;13;251;69;135;3507
CREAM SUB,FLAV,POWDERED ;0;13;495;0;2147;7542
CHEESE,PROVOLONE,RED FAT 1 cup, diced;0;19;274;247;176;35
CHEESE,MEXICAN,BLEND,RED FAT ;0;0;282;2469;194;341
EGG MIX,USDA CMDTY ;0;3;549;356;345;2397
ALLSPICE,GROUND 1 tbsp;0;14;263;609;869;7212
ANISE SEED 1 tbsp, whole;0;19;337;176;159;5002
SPICES,BASIL,DRIED 1 tsp, leaves;0;3;251;1437;398;6096
SPICES,BAY LEAF 1 tbsp, crumbled;0;11;313;761;836;7497
CARAWAY SEED 1 tbsp;0;4;333;1977;1459;499
SPICES,CARDAMOM 1 tbsp, ground;0;6;311;1076;67;6847
CELERY SEED 1 tbsp;0;18;392;1807;2527;4135
CHERVIL,DRIED 1 tbsp;0;13;237;232;39;491
CHILI POWDER 1 tbsp;0;11;314;1226;1676;5466
CINNAMON,GROUND 1 tbsp;0;11;247;399;124;8059
CLOVES,GROUND 1 tbsp;0;8;323;598;2007;6121
CORIANDER LEAF,DRIED 1 tbsp;0;1;279;2193;478;521
CORIANDER SEED 1 tbsp;0;12;298;1237;1777;5499
CUMIN SEED 1 tbsp, whole;0;0;375;1781;2227;4424
CURRY POWDER 1 tbsp;0;8;325;1266;1381;5815
DILL SEED 1 tbsp;0;15;305;1598;1454;5517
DILL WEED,DRIED 1 tbsp;0;16;253;1996;436;5582
FENNEL SEED 1 tbsp, whole;0;7;345;158;1487;5229
FENUGREEK SEED 1 tbsp;0;10;323;230;641;5835
GARLIC POWDER 1 tbsp;0;3;332;168;76;7271
GINGER,GROUND 1 tbsp;0;17;347;912;595;7079
MACE,GROUND 1 tbsp;0;15;475;671;3238;505
MARJORAM,DRIED 1 tbsp;0;13;271;1266;704;6056
MUSTARD SEED,YELLOW 1 tbsp;0;14;469;2494;2876;3494
NUTMEG,GROUND 1 tbsp;0;4;525;584;3631;4929
ONION POWDER 1 tbsp;0;0;347;1012;105;8067
SPICES,OREGANO,DRIED 1 tsp, leaves;0;12;306;110;1025;6443
PAPRIKA 1 tbsp;0;0;289;1476;1295;5574
PARSLEY,DRIED 1 tsp;0;15;276;2242;443;5166
PEPPER,BLACK 1 tbsp;0;15;255;1095;326;6481
PEPPER,RED OR CAYENNE 1 tbsp;0;0;318;1201;1727;5663
PEPPER,WHITE 1 tbsp, ground;0;15;296;104;212;6861
POPPY SEED 1 tbsp;0;12;525;1799;4156;2813
POULTRY SEASONING 1 tbsp;0;19;307;959;753;6559
PUMPKIN PIE SPICE 1 tbsp;0;5;342;576;126;6928
ROSEMARY,DRIED 1 tbsp;0;19;331;488;1522;6406
SAFFRON 1 tbsp;0;0;310;1143;585;6537
SAGE,GROUND 1 tbsp;0;4;315;1063;1275;6073
SAVORY,GROUND 1 tbsp;0;1;272;673;591;6873
SPICES,TARRAGON,DRIED 1 tsp, leaves;0;2;295;2277;724;5022
SPICES,THYME,DRIED 1 tsp, leaves;0;7;276;911;743;6394
TURMERIC,GROUND 1 tbsp;0;3;354;783;988;6493
BASIL,FRESH 2 tbsp, chopped;0;6;23;315;64;265
DILL WEED,FRSH 1 cup, sprigs;0;0;43;346;112;702
MUSTARD,PREPARED,YELLOW 1 tsp,  or 1 packet;0;5;67;437;401;533
SALT,TABLE 1 cup;0;7;0;0;0;0
VINEGAR,CIDER 1 cup;0;2;21;0;0;93
THYME,FRSH 1 tsp;0;10;101;556;168;2445
VANILLA EXTRACT 1 cup;0;8;288;6;6;1265
VANILLA EXTRACT,IMITN,ALCOHOL 1 tbsp;0;2;237;5;0;241
VANILLA EXTRACT,IMITN,NO ALCOHOL 1 tbsp;0;12;56;3;0;144
VINEGAR,DISTILLED 1 cup;0;4;18;0;0;4
CAPERS,CANNED 1 tbsp,  drained;0;4;23;236;86;489
HORSERADISH,PREPARED 1 tbsp;0;12;48;118;69;1129
ROSEMARY,FRESH 1 tbsp;0;5;131;331;586;207
PEPPERMINT,FRESH 2 tbsp;0;19;70;375;94;1489
SPEARMINT,FRESH 2 tbsp;0;11;44;329;73;841
SPEARMINT,DRIED 1 tbsp;0;12;285;1993;603;5204
VINEGAR,RED WINE 1 cup;0;2;19;4;0;27
VINEGAR,BALSAMIC 1 cup;0;16;88;49;0;1703
CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX 2 tbsp;0;8;188;0;0;5629
BABYFOOD,MEAT,BF,STR 1 tbsp;0;18;81;1203;252;243
BABYFOOD,MEAT,BF,STR 1 oz;0;12;81;1203;252;243
BABYFOOD,MEAT,VEAL,STR 1 tbsp;0;9;81;1312;245;151
BABYFOOD,MEAT,PORK,STR 1 oz;0;13;124;140;71;0
BABYFOOD,MEAT,HAM,STR 1 tbsp;0;10;97;113;38;37
BABYFOOD,MEAT,HAM,JUNIOR 1 oz;0;16;97;113;38;37
BABYFOOD,MEAT,LAMB,STR 1 tbsp;0;14;87;1407;341;85
BABYFOOD,MEAT,LAMB,JUNIOR 1 oz;0;14;112;152;52;0
BABYFOOD,MEAT,CHICK,STR 1 tbsp;0;18;130;137;79;1
BABYFOOD,MEAT,CHICK,JR 1 tbsp;0;13;146;140;96;0
BABYFOOD,MEAT,CHICK STKS,JR 1 stick;0;4;188;146;144;15
BABYFOOD,MEAT,TURKEY,STR 1 tbsp;0;9;111;115;62;14
BABYFOOD,MEAT,TURKEY,JR 1 tbsp;0;14;111;115;62;14
BABYFOOD,MEAT,TURKEY STKS,JR 1 stick;0;2;182;137;142;14
BABYFOOD,MEAT,MEAT STKS,JR 1 stick;0;0;184;134;146;11
BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR 1 oz;0;13;48;20;9;77
BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR 1 oz;0;9;48;21;8;80
BABYFOOD,DINNER,BF LASAGNA,TODD 1 oz;0;17;77;42;21;100
BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR 1 tbsp;0;12;61;236;147;945
BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR 1 tbsp;0;9;59;25;11;94
BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU 1 tbsp;0;17;99;36;22;163
BABYFOOD,DINNER,BF NOODLE,STR 1 tbsp;0;15;63;244;226;818
BABYFOOD,MACARONI&CHS,TODD 1 oz;0;19;83;35;26;112
BABYFOOD,DINNER,BF&RICE,TODD 1 oz;0;14;82;50;29;88
BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR 1 tbsp;0;0;68;257;137;1142
BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD 1 oz;0;12;75;53;10;108
BABYFOOD,DINNER,BF STEW,TODD 1 oz;0;17;51;51;12;55
BABYFOOD,DINNER,VEG&BF,STR 1 cup;0;6;77;221;36;884
BABYFOOD,DINNER,VEG&BF,JR 1 cup;0;5;77;221;36;884
BABYFOOD,DINNER,BF W/VEG 1 jar,  Beech-Nut Stage 2 (4 oz);0;0;96;203;693;636
BABYFOOD,DINNER,VEG&BACON,STR 1 cup;0;6;69;192;295;881
BABYFOOD,DINNER,VEG&HAM,STR 1 cup;0;12;59;219;214;78
BABYFOOD,DINNER,VEG&HAM,JR 1 cup;0;11;60;202;189;865
BABYFOOD,DINNER,VEG&LAMB,STR 1 cup;0;19;52;20;20;69
BABYFOOD,DINNER,VEG&LAMB,JR 1 oz;0;12;51;21;17;71
BABYFOOD,DINNER,CHICK NOODLE,STR 1 tbsp;0;5;66;269;206;908
BABYFOOD,DINNER,CHICK NOODLE,JR 1 tbsp;0;7;55;237;118;879
BABYFOOD,DINNER,CHICK SOUP,STR ;0;5;50;16;17;72
BABYFOOD,DINNER,CHICK STEW,TODD 1 tbsp;0;9;78;52;37;64
BABYFOOD,DINNER,VEG CHICK,STR 1 cup;0;5;59;247;173;842
BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR 1 oz;0;8;63;20;25;79
BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR 1 oz;0;17;64;17;22;91
BABYFOOD,DINNER,PASTA W/VEG 1 jar,  Gerber (4 oz);0;0;60;17;21;84
BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR 1 oz;0;18;44;12;12;68
BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR 1 oz;0;15;52;18;15;76
BABYFOOD,DINNER,TURKEY&RICE,STR 1 tbsp;0;8;52;227;124;794
BABYFOOD,DINNER,TURKEY&RICE,JR 1 tbsp;0;6;56;237;92;957
BABYFOOD,DINNER,VEG&TURKEY,STR 1 cup;0;14;48;232;9;762
BABYFOOD,DINNER,VEG&TURKEY,JR 1 cup;0;7;53;172;174;755
BABYFOOD,DINNER,VEG&TURKEY,TODD 1 oz;0;16;80;48;34;80
BABYFOOD,DINNER,MACARONI&CHS,STR 1 oz;0;1;67;314;211;895
BABYFOOD,DINNER,MACARONI&CHS,JR 1 oz;0;0;61;26;20;82
BABYFOOD,VEG,GRN BNS,STR 1 cup;0;18;27;12;17;629
BABYFOOD,VEG,GRN BNS,JR 1 cup;0;10;24;12;1;57
BABYFOOD,GRN BNS,DICES,TODD 1 oz;0;7;29;12;2;57
BABYFOOD,VEG,GRN BNS&POTATOES 1 jar,  Gerber (4 oz);0;19;62;22;19;90
BABYFOOD,VEG,BEETS,STR 1 cup;0;6;34;13;1;77
BABYFOOD,VEG,CARROTS,STR 1 cup;0;4;27;8;1;60
BABYFOOD,VEG,CARROTS,JR 1 cup;0;3;32;8;2;72
Babyfood, vegetables, squash, strained 1 tbsp;0;8;28;81;2;573
BABYFOOD,VEG,SQUASH,JR 1 tbsp;0;5;24;81;2;573
BABYFOOD,VEG,SWT POTATOES,STR 1 cup;0;16;57;11;1;132
BABYFOOD,VEG,SWT POTATOES,JR 1 cup;0;12;60;11;1;139
BABYFOOD,POTATOES,TODDLER 1 cup;0;6;52;10;1;1173
BABYFOOD,VEG,BUTTERNUT SQUASH&CORN 1 jar,  Gerber (4 oz);0;18;50;20;6;93
BABYFOOD,APPLS,DICES,TODD 1 oz;0;10;51;2;1;121
BABYFOOD,FRUIT,APPLSAUC,STR 1 tbsp;0;7;41;2;2;108
BABYFOOD,FRUIT,APPLSAUC,JR 1 tbsp;0;1;37;0;0;103
BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR 1 tbsp;0;17;60;3;0;163
BABYFOOD,VEG,CORN,CRMD,STR 1 cup;0;0;57;14;4;141
BABYFOOD,VEG,CORN,CRMD,JR 1 cup;0;13;65;14;4;1625
BABYFOOD,VEG,PEAS,STR 1 tbsp;0;9;50;327;43;836
BABYFOOD,PEAS,DICES,TODD 1 oz;0;11;64;39;8;103
BABYFOOD,VEG,SPINACH,CRMD,STR 1 cup;0;13;37;25;13;57
BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR 1 tbsp;0;1;63;3;0;173
BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR 1 tbsp;0;0;56;4;1;153
BABYFOOD,FRUIT,PEACHES,STR 1 tbsp;0;10;65;94;33;1448
BABYFOOD,FRUIT,PEACHES,JR 1 tbsp;0;12;65;94;33;1448
BABYFOOD,FRUIT,PEARS,STR 1 tbsp;0;16;42;3;2;108
BABYFOOD,FRUIT,PEARS,JR 1 tbsp;0;12;43;3;1;116
BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR 1 tbsp;0;12;71;1;0;197
BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR 1 tbsp;0;19;74;1;0;205
BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR 1 tbsp;0;10;69;6;1;185
BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR 1 oz;0;16;70;6;1;187
BABYFOOD,PRUNES,WO/VIT C,STR 1 tbsp;0;9;101;10;2;2352
